R,AB,H,2B,3B,HR,BB,SO,SB,CS
598,5563,1385,237,19,148,411,1207.0,105.0,42.0
841,5598,1539,302,44,161,631,1081.0,125.0,35.0
682,5488,1409,258,26,113,439,911.0,159.0,55.0
774,5488,1396,257,42,150,554,969.0,92.0,33.0
745,4801,1161,132,82,32,345,555.0,469.0,
649,5514,1404,295,27,122,502,1240.0,75.0,34.0
516,5231,1323,194,84,15,360,512.0,156.0,142.0
741,5612,1408,322,31,171,557,1229.0,55.0,24.0
609,3999,1142,211,36,124,388,738.0,119.0,51.0
893,4954,1370,231,84,29,321,379.0,476.0,
707,5436,1324,273,37,172,571,1193.0,155.0,62.0
693,5548,1465,222,67,79,494,837.0,105.0,61.0
681,5444,1415,294,27,135,494,967.0,103.0,55.0
525,5312,1364,169,47,36,422,490.0,42.0,32.0
529,5279,1333,142,50,12,289,280.0,127.0,
753,5604,1514,316,33,130,618,1023.0,58.0,27.0
831,5578,1460,257,35,165,729,1005.0,83.0,27.0
463,5405,1233,169,33,71,397,840.0,90.0,50.0
851,5637,1572,299,21,203,615,890.0,107.0,46.0
665,5491,1353,235,46,159,489,1239.0,73.0,38.0
749,5515,1419,291,12,217,614,1192.0,124.0,33.0
867,5639,1588,273,60,123,563,754.0,105.0,65.0
623,5333,1274,236,35,107,588,1006.0,154.0,77.0
729,5527,1465,254,31,116,492,817.0,132.0,72.0
747,5097,1403,260,22,109,566,992.0,176.0,60.0
591,5466,1312,201,39,153,443,1099.0,98.0,63.0
775,4926,1410,189,95,18,372,440.0,222.0,
591,5287,1367,227,39,91,440,598.0,68.0,
685,5336,1413,231,35,104,568,525.0,37.0,34.0
766,5609,1539,309,29,159,486,914.0,148.0,57.0
789,4755,1189,149,47,36,410,521.0,468.0,
679,5039,1317,190,72,28,459,572.0,249.0,
786,5575,1523,266,52,136,533,866.0,136.0,58.0
578,5518,1373,207,33,71,484,827.0,234.0,64.0
746,5497,1431,295,29,164,551,1125.0,153.0,47.0
772,5592,1469,272,12,148,588,935.0,146.0,39.0
956,4916,1420,194,98,27,436,367.0,466.0,
494,5296,1297,201,37,33,449,463.0,25.0,45.0
738,5535,1475,310,35,178,476,1048.0,58.0,48.0
650,5493,1395,271,35,107,393,1060.0,159.0,51.0
737,5610,1413,227,46,221,553,1019.0,46.0,22.0
706,5534,1447,300,46,102,428,1069.0,78.0,44.0
770,5631,1535,269,40,153,533,686.0,84.0,42.0
678,5579,1332,300,26,167,475,1435.0,47.0,28.0
579,5275,1187,215,28,133,570,1019.0,78.0,32.0
773,5652,1464,304,31,155,492,1266.0,81.0,39.0
669,5487,1378,244,40,165,607,964.0,47.0,24.0
666,5497,1423,258,23,166,430,1287.0,86.0,21.0
665,5408,1366,191,29,108,583,957.0,126.0,68.0
688,5513,1425,253,29,186,504,917.0,18.0,16.0
787,5630,1530,314,27,147,510,1028.0,93.0,45.0
783,5297,1504,298,90,82,461,508.0,98.0,70.0
714,5604,1480,228,45,166,452,764.0,60.0,46.0
820,5565,1453,335,15,222,611,1303.0,72.0,23.0
671,5458,1309,216,48,131,512,976.0,55.0,37.0
611,5219,1288,223,47,86,521,693.0,35.0,38.0
476,3615,982,135,27,76,322,518.0,86.0,44.0
863,5593,1496,299,14,221,569,1222.0,53.0,16.0
174,943,272,28,5,0,17,13.0,12.0,3.0
610,5457,1307,266,16,148,426,1535.0,110.0,61.0
624,5064,1344,180,101,24,496,501.0,218.0,
681,5214,1350,191,41,126,548,554.0,48.0,
708,5604,1499,249,56,110,433,807.0,130.0,45.0
648,5549,1443,254,34,112,422,1048.0,153.0,32.0
752,5484,1467,263,21,177,467,922.0,160.0,74.0
755,5273,1535,282,69,99,504,454.0,80.0,
723,5602,1521,283,45,168,384,1038.0,66.0,28.0
729,5459,1363,278,26,230,486,1392.0,121.0,48.0
541,5224,1324,154,63,10,370,548.0,144.0,
670,5261,1395,217,41,139,471,619.0,54.0,31.0
463,3104,776,121,53,11,102,255.0,,
638,5505,1350,283,29,155,427,1310.0,117.0,38.0
593,5590,1420,221,41,104,417,816.0,77.0,51.0
741,4676,1303,180,80,29,380,348.0,204.0,
727,5318,1399,250,42,170,531,817.0,64.0,29.0
805,5583,1466,308,30,191,557,1021.0,66.0,30.0
761,5624,1453,286,34,167,576,1388.0,66.0,38.0
679,3658,1000,277,61,13,129,399.0,,
660,5460,1418,281,44,99,563,888.0,125.0,65.0
739,4575,1152,152,108,24,486,558.0,421.0,
713,4832,1250,208,89,25,350,479.0,289.0,
829,4501,1260,176,81,53,374,426.0,194.0,
649,5545,1391,239,50,145,499,1041.0,70.0,49.0
927,5274,1495,241,75,144,700,506.0,76.0,59.0
683,5370,1460,233,44,83,375,440.0,30.0,
750,5479,1418,241,32,172,634,952.0,82.0,57.0
571,5103,1268,170,54,23,377,528.0,159.0,
591,5360,1349,208,42,75,536,848.0,152.0,70.0
798,5481,1408,265,28,211,668,1083.0,95.0,42.0
668,4793,1275,194,58,24,430,550.0,199.0,
563,5392,1314,223,42,57,486,591.0,86.0,61.0
843,5618,1510,304,27,230,554,1055.0,62.0,34.0
678,5531,1442,257,32,128,565,1073.0,76.0,39.0
831,5334,1448,207,101,19,455,297.0,165.0,
851,5653,1596,286,79,116,528,675.0,207.0,76.0
682,5504,1376,263,26,162,473,1010.0,92.0,55.0
676,5604,1534,279,31,121,471,905.0,115.0,50.0
646,5255,1422,256,51,72,392,475.0,52.0,
714,5582,1458,258,31,124,469,819.0,86.0,52.0
625,5464,1401,195,50,66,530,719.0,150.0,57.0
623,5241,1311,213,44,117,534,758.0,57.0,26.0
591,5331,1186,221,29,158,476,1497.0,89.0,32.0
633,5429,1342,242,49,118,492,880.0,169.0,77.0
716,5464,1459,288,37,138,497,911.0,103.0,60.0
681,5415,1430,230,39,110,486,710.0,102.0,59.0
710,5394,1360,256,22,153,631,1169.0,174.0,67.0
865,5716,1528,311,29,260,495,1112.0,67.0,15.0
564,4548,1188,181,49,33,471,411.0,108.0,
614,5363,1322,201,21,117,575,855.0,65.0,58.0
585,3759,901,107,96,40,196,629.0,,
826,4628,1251,196,54,42,471,450.0,331.0,
742,5303,1382,207,25,158,672,844.0,66.0,38.0
801,5554,1455,310,37,231,501,1137.0,96.0,32.0
406,2707,660,89,21,5,125,164.0,,
476,5030,1223,155,74,25,335,651.0,182.0,
322,2987,666,116,29,4,37,214.0,,
757,5581,1475,230,34,155,508,861.0,117.0,58.0
829,4664,1299,186,93,32,466,261.0,255.0,
777,5502,1427,314,40,133,633,1085.0,171.0,74.0
864,5628,1574,309,34,236,608,1024.0,93.0,52.0
690,5568,1467,250,44,101,462,746.0,69.0,34.0
870,5619,1576,351,27,196,556,1204.0,55.0,23.0
768,5362,1452,195,45,176,499,608.0,31.0,21.0
544,4870,1224,133,40,6,358,566.0,229.0,
715,5654,1501,298,38,137,420,1030.0,142.0,42.0
609,5336,1261,240,35,124,529,1328.0,60.0,30.0
947,5597,1543,293,23,307,538,1289.0,132.0,27.0
299,2019,532,107,14,81,195,499.0,19.0,8.0
700,5538,1421,296,23,165,589,1171.0,73.0,38.0
693,5356,1503,246,78,66,332,397.0,69.0,
887,5478,1481,259,25,235,675,1253.0,87.0,51.0
675,5218,1480,286,35,56,398,534.0,52.0,
667,5263,1476,209,85,59,325,400.0,91.0,73.0
468,5357,1203,180,42,99,423,1143.0,45.0,44.0
541,5415,1239,196,27,99,564,900.0,85.0,45.0
694,5465,1407,250,61,114,547,865.0,237.0,82.0
703,5259,1188,138,53,45,607,492.0,209.0,
538,3135,876,164,39,4,104,217.0,,
733,5433,1379,209,22,164,651,992.0,141.0,54.0
713,4724,1317,177,61,23,369,345.0,236.0,
1056,5022,1574,268,87,65,507,306.0,332.0,
249,1186,328,35,40,7,26,25.0,18.0,8.0
599,5484,1370,206,38,132,466,789.0,99.0,53.0
713,5474,1325,187,28,136,711,1054.0,71.0,32.0
781,5568,1521,318,41,142,559,967.0,68.0,28.0
691,5496,1356,281,40,162,456,1405.0,117.0,39.0
518,4930,1195,154,64,10,333,517.0,206.0,
519,4956,1180,144,65,26,306,600.0,233.0,
615,5537,1412,237,33,98,438,841.0,96.0,62.0
650,5499,1405,249,39,132,536,1092.0,117.0,41.0
630,4633,1073,132,59,21,497,474.0,152.0,
764,5544,1544,256,46,112,526,693.0,66.0,45.0
466,3864,1001,198,23,80,349,725.0,53.0,25.0
735,5539,1459,300,20,149,602,1064.0,58.0,26.0
775,5383,1485,288,62,86,584,465.0,55.0,44.0
766,5463,1513,281,54,102,569,482.0,17.0,
611,5330,1254,182,36,162,485,817.0,49.0,29.0
786,5423,1352,295,13,222,553,1425.0,36.0,24.0
714,5548,1423,266,24,196,547,1221.0,99.0,39.0
691,5460,1411,195,22,141,485,665.0,59.0,48.0
815,4582,1311,182,97,34,409,290.0,332.0,
571,5214,1290,149,55,13,383,405.0,104.0,
736,5308,1383,203,52,147,613,523.0,43.0,
666,5230,1323,239,25,99,559,670.0,39.0,
755,5409,1545,275,36,76,491,462.0,68.0,
651,5369,1414,230,42,112,442,715.0,32.0,26.0
504,4166,1084,176,67,9,491,386.0,165.0,
755,5612,1551,307,41,186,397,1281.0,85.0,48.0
812,5148,1428,173,82,27,406,346.0,247.0,
793,5315,1547,281,90,36,599,423.0,88.0,72.0
619,5256,1325,204,41,112,480,727.0,40.0,30.0
711,5168,1382,203,47,94,604,536.0,98.0,58.0
569,5108,1221,188,58,18,364,715.0,177.0,
835,5659,1571,357,23,183,505,1061.0,53.0,24.0
683,5559,1458,225,32,109,651,625.0,151.0,68.0
752,5401,1316,273,14,205,653,1311.0,137.0,32.0
846,5476,1455,285,13,262,496,1218.0,81.0,20.0
421,3529,889,148,22,100,391,434.0,47.0,30.0
575,5444,1314,172,26,112,436,1031.0,141.0,64.0
779,5636,1585,283,26,174,577,985.0,73.0,32.0
820,4651,1281,164,86,27,539,323.0,233.0,
794,5498,1488,320,21,144,595,707.0,41.0,34.0
798,5240,1516,248,86,98,478,420.0,69.0,64.0
427,3600,922,148,29,65,404,500.0,61.0,37.0
665,4093,987,153,43,21,300,469.0,,
748,5538,1427,283,36,173,487,971.0,138.0,52.0
771,5335,1564,248,71,42,525,447.0,97.0,108.0
809,5570,1461,274,27,194,613,1202.0,134.0,48.0
698,5501,1394,269,29,114,536,1087.0,148.0,93.0
701,5421,1543,274,90,48,358,385.0,71.0,
552,5135,1229,194,67,17,415,599.0,127.0,
755,5279,1451,220,56,64,579,502.0,113.0,61.0
731,5204,1246,149,78,37,529,555.0,276.0,
767,5521,1403,301,25,186,573,1178.0,74.0,28.0
578,4775,1275,193,49,45,386,479.0,101.0,
642,5341,1317,262,24,124,489,1035.0,70.0,31.0
671,5643,1498,285,20,124,417,890.0,90.0,32.0
713,5617,1482,286,36,126,508,1080.0,97.0,45.0
959,5553,1769,264,83,143,422,382.0,59.0,
755,5421,1454,282,69,60,551,507.0,71.0,
513,5156,1205,156,22,91,474,828.0,68.0,66.0
787,5635,1556,268,25,162,511,986.0,123.0,48.0
680,5499,1409,258,27,155,508,966.0,132.0,62.0
691,5578,1465,266,44,128,479,1145.0,92.0,46.0
634,5483,1358,295,32,135,540,1312.0,138.0,40.0
454,4369,1066,147,64,27,329,461.0,119.0,
845,5561,1384,292,23,257,578,1338.0,49.0,21.0
639,5610,1429,242,33,106,442,767.0,119.0,60.0
569,5029,1225,152,79,12,458,541.0,186.0,106.0
641,5450,1299,227,38,125,529,907.0,67.0,31.0
943,5583,1493,290,17,306,569,1437.0,55.0,22.0
666,5575,1403,247,34,171,475,954.0,27.0,16.0
675,5160,1333,164,102,15,388,516.0,178.0,
562,5185,1325,249,54,32,465,450.0,48.0,51.0
724,5575,1497,300,42,139,383,973.0,104.0,34.0
634,5482,1380,228,38,93,548,869.0,107.0,51.0
1008,4678,1358,178,50,65,561,292.0,243.0,
640,5474,1381,238,43,157,407,1183.0,142.0,50.0
828,5360,1641,250,87,54,530,378.0,78.0,61.0
696,5565,1486,288,39,136,457,1159.0,93.0,36.0
419,5008,1163,121,52,18,312,615.0,125.0,
628,5278,1363,186,17,144,532,770.0,47.0,35.0
592,5558,1370,170,47,105,493,806.0,42.0,30.0
682,5259,1449,253,78,72,437,465.0,62.0,71.0
513,5409,1274,227,16,101,459,1184.0,142.0,39.0
690,5535,1382,287,36,174,494,1417.0,59.0,25.0
329,3521,797,137,23,61,284,556.0,66.0,57.0
669,5353,1401,240,73,42,573,566.0,64.0,
733,5422,1453,242,50,91,559,606.0,48.0,38.0
626,5460,1302,184,28,138,635,989.0,72.0,42.0
664,5363,1424,238,56,124,573,871.0,51.0,33.0
822,5554,1578,324,23,123,507,883.0,139.0,55.0
643,5230,1298,224,47,161,479,767.0,46.0,
493,4224,1085,160,45,20,367,370.0,88.0,
767,5589,1479,263,50,167,526,970.0,111.0,52.0
714,5601,1520,218,34,129,563,695.0,90.0,38.0
724,5519,1431,302,24,172,492,1158.0,73.0,31.0
681,5456,1374,234,23,160,620,884.0,51.0,36.0
686,5492,1397,239,28,150,562,937.0,182.0,49.0
521,5111,1233,195,19,108,483,731.0,33.0,35.0
552,5429,1324,215,22,78,506,754.0,85.0,50.0
682,5484,1341,202,22,180,502,939.0,35.0,16.0
723,5605,1457,293,30,167,547,1043.0,65.0,33.0
719,5531,1438,290,34,145,513,1083.0,58.0,31.0
797,5358,1651,279,83,50,427,339.0,118.0,79.0
804,5398,1408,300,50,190,660,1277.0,106.0,55.0
808,5557,1534,269,33,168,516,930.0,120.0,65.0
758,5577,1526,306,52,166,450,1213.0,100.0,40.0
700,5359,1412,229,45,159,478,693.0,46.0,31.0
761,5470,1402,284,28,196,593,1348.0,81.0,31.0
713,5473,1366,301,34,180,589,1529.0,86.0,41.0
813,5562,1504,325,54,157,561,1108.0,85.0,50.0
654,5240,1366,218,77,50,448,426.0,36.0,40.0
891,5509,1480,308,17,232,570,1151.0,88.0,23.0
690,5475,1428,227,41,101,554,897.0,154.0,51.0
516,4670,1152,176,49,14,325,538.0,180.0,
599,5340,1254,259,17,93,572,956.0,129.0,52.0
445,4082,856,135,51,23,265,582.0,143.0,
615,5234,1303,212,45,104,480,709.0,32.0,42.0
573,5468,1316,240,22,123,472,1369.0,95.0,33.0
879,4757,1346,191,78,41,397,319.0,184.0,
650,5507,1405,241,28,109,513,809.0,60.0,39.0
715,5061,1391,204,83,31,562,489.0,282.0,
798,5634,1558,224,42,171,474,1042.0,79.0,56.0
574,4874,1222,160,48,23,513,508.0,205.0,
800,5720,1615,292,31,162,562,816.0,66.0,27.0
677,5431,1385,249,34,114,576,856.0,159.0,70.0
722,4742,1258,180,83,23,523,237.0,154.0,
680,5368,1278,190,27,162,554,952.0,57.0,41.0
661,5478,1292,245,29,165,508,1473.0,85.0,23.0
746,5472,1489,218,45,130,582,847.0,146.0,88.0
730,5705,1442,208,35,162,520,976.0,54.0,18.0
750,5303,1505,266,63,74,481,492.0,65.0,
821,5615,1568,294,24,178,629,910.0,39.0,35.0
699,5516,1502,298,31,106,598,795.0,53.0,52.0
792,5527,1466,282,44,179,535,975.0,97.0,44.0
749,5606,1515,233,67,87,541,841.0,138.0,57.0
651,5110,1345,211,52,62,472,570.0,145.0,
531,5083,1271,159,93,26,359,652.0,159.0,
739,2748,933,144,44,13,68,36.0,145.0,48.0
220,1013,275,36,9,2,10,13.0,6.0,7.0
674,5154,1373,191,105,19,409,573.0,207.0,
591,5352,1360,224,41,75,509,607.0,63.0,
603,5541,1324,255,30,133,448,1467.0,77.0,34.0
593,5417,1284,247,42,91,501,1320.0,170.0,44.0
750,5518,1380,287,28,194,599,1335.0,77.0,25.0
605,5050,1229,199,74,42,501,577.0,164.0,
638,5126,1314,156,66,17,328,316.0,130.0,
704,5257,1423,177,80,36,370,384.0,197.0,
780,5541,1418,280,42,210,507,1397.0,95.0,33.0
741,5529,1450,253,23,200,435,1002.0,137.0,67.0
98,869,204,25,8,0,9,30.0,4.0,4.0
624,5460,1398,218,33,133,426,769.0,110.0,67.0
746,5222,1368,188,39,156,637,668.0,30.0,33.0
900,4378,1223,198,87,53,460,513.0,213.0,
306,1948,500,90,10,82,229,480.0,35.0,8.0
585,5393,1294,186,59,110,521,1020.0,110.0,51.0
523,2426,670,87,14,4,58,52.0,59.0,22.0
707,5579,1415,234,46,109,477,882.0,100.0,52.0
559,5461,1282,213,35,131,413,984.0,53.0,65.0
633,5530,1404,269,31,121,396,881.0,80.0,42.0
617,5367,1413,224,51,62,397,453.0,82.0,
730,5465,1436,294,29,160,528,1041.0,75.0,31.0
785,5669,1461,302,19,168,571,1224.0,106.0,31.0
799,5405,1518,285,58,119,582,586.0,63.0,46.0
768,5573,1521,304,32,139,566,910.0,52.0,25.0
739,5610,1542,225,54,95,543,757.0,124.0,53.0
227,1271,332,58,15,13,107,114.0,47.0,
684,5052,1374,190,96,25,493,,269.0,
575,5443,1429,265,68,47,436,436.0,35.0,
557,5258,1278,190,37,103,553,605.0,27.0,38.0
686,5500,1392,255,36,118,509,1059.0,127.0,31.0
521,3927,1028,208,28,80,396,711.0,67.0,24.0
705,5211,1409,229,63,111,437,591.0,60.0,63.0
500,3128,858,146,47,18,116,228.0,,
504,3869,963,159,32,123,364,719.0,114.0,40.0
645,5452,1330,280,29,114,509,1094.0,117.0,43.0
820,5553,1484,239,34,189,643,739.0,86.0,36.0
738,5470,1517,221,40,89,617,625.0,118.0,58.0
683,5329,1509,242,82,35,445,474.0,97.0,93.0
718,5600,1477,309,39,108,571,1085.0,130.0,35.0
662,5247,1386,229,68,134,396,753.0,30.0,15.0
248,1988,485,97,7,68,172,527.0,49.0,20.0
603,5231,1274,215,38,111,527,733.0,13.0,38.0
890,5439,1654,358,59,72,490,461.0,51.0,47.0
690,5393,1450,255,51,56,486,451.0,45.0,
777,5644,1563,298,37,162,499,810.0,110.0,50.0
597,4739,1088,160,43,20,408,458.0,208.0,
457,5024,1058,115,58,7,403,648.0,183.0,
618,5112,1421,221,94,20,375,308.0,117.0,120.0
789,5476,1543,264,67,94,385,569.0,78.0,
844,5510,1608,330,67,122,446,547.0,71.0,
860,5413,1420,225,95,50,528,515.0,216.0,
633,5198,1311,218,52,61,605,563.0,37.0,33.0
238,2372,555,51,12,4,41,136.0,,
685,5442,1466,249,32,92,392,661.0,52.0,
757,5578,1559,245,84,47,591,503.0,61.0,35.0
613,5463,1420,236,40,120,375,1150.0,112.0,45.0
688,5498,1413,240,30,150,553,1122.0,99.0,46.0
741,5527,1467,310,39,120,501,918.0,166.0,74.0
876,5623,1509,355,31,208,569,1253.0,125.0,31.0
747,5428,1401,284,24,152,641,834.0,135.0,68.0
699,5129,1332,218,92,25,479,511.0,185.0,
567,5536,1385,181,49,108,454,940.0,57.0,41.0
690,5251,1365,190,53,76,671,606.0,42.0,25.0
588,5221,1340,199,57,110,383,752.0,24.0,33.0
628,5377,1324,195,41,55,593,811.0,220.0,108.0
523,5291,1262,206,33,65,493,604.0,82.0,
615,5226,1303,212,34,110,513,744.0,16.0,11.0
789,5592,1530,283,53,156,508,831.0,93.0,53.0
676,5428,1325,258,43,163,411,1396.0,163.0,47.0
708,5278,1506,237,95,45,439,367.0,96.0,105.0
642,5422,1360,215,32,120,552,1013.0,136.0,67.0
815,5435,1554,353,74,60,432,475.0,114.0,
723,5391,1495,251,57,110,366,518.0,19.0,
676,5469,1416,257,27,110,575,1054.0,115.0,48.0
634,5249,1348,191,42,101,518,669.0,101.0,33.0
590,5361,1428,227,65,55,313,532.0,34.0,
850,4771,1217,142,99,30,551,553.0,342.0,
705,5509,1453,282,41,141,502,779.0,68.0,44.0
750,5496,1441,298,28,138,608,1107.0,95.0,42.0
614,5303,1253,207,17,125,582,974.0,76.0,62.0
293,2300,542,76,15,3,64,197.0,,
591,5540,1410,195,43,67,563,791.0,239.0,73.0
662,5157,1433,285,61,36,493,389.0,90.0,75.0
689,5501,1419,250,27,164,488,1006.0,124.0,56.0
632,4395,1105,151,57,25,466,456.0,232.0,
670,5077,1354,244,68,43,464,615.0,159.0,
703,5304,1391,242,53,105,556,656.0,48.0,33.0
651,5626,1431,259,33,130,456,806.0,131.0,82.0
716,5309,1444,263,35,39,580,422.0,58.0,
849,5389,1604,315,76,35,607,400.0,100.0,76.0
410,3093,781,114,31,7,121,169.0,,
772,5489,1422,272,27,171,510,1217.0,62.0,22.0
468,3926,1043,180,24,94,349,746.0,65.0,26.0
686,5604,1421,256,29,170,528,974.0,50.0,33.0
759,5584,1464,307,21,135,527,1046.0,133.0,48.0
675,5210,1323,162,35,109,558,511.0,39.0,
749,5490,1390,292,30,167,604,1072.0,79.0,37.0
793,5567,1480,253,23,187,594,1030.0,167.0,68.0
1065,5591,1676,315,83,182,700,594.0,77.0,40.0
739,5537,1452,212,52,161,590,913.0,112.0,52.0
641,5501,1308,264,13,171,377,1424.0,86.0,22.0
791,4997,1399,286,31,175,560,923.0,99.0,44.0
641,4795,1250,192,66,26,325,387.0,176.0,
595,5165,1394,193,86,39,361,555.0,188.0,
892,5370,1620,300,98,57,537,438.0,101.0,67.0
604,5200,1248,195,29,134,463,886.0,87.0,48.0
625,4768,1217,162,53,14,563,531.0,288.0,
614,5358,1327,229,37,97,522,702.0,123.0,47.0
686,5496,1451,319,29,114,508,871.0,73.0,38.0
734,5406,1493,236,56,120,486,747.0,34.0,24.0
719,5510,1376,264,12,209,570,1326.0,101.0,29.0
932,4764,1442,241,90,37,471,301.0,220.0,
725,5626,1557,220,52,119,454,944.0,74.0,34.0
752,4756,1392,213,83,40,399,302.0,163.0,
729,5448,1512,278,70,51,570,447.0,47.0,42.0
692,5347,1353,216,36,132,624,779.0,196.0,91.0
743,5540,1443,245,35,183,540,1114.0,72.0,33.0
940,5672,1637,314,32,201,595,1045.0,82.0,47.0
657,5205,1353,237,45,93,540,534.0,60.0,41.0
604,5356,1251,227,31,189,460,1499.0,89.0,33.0
557,5088,1260,181,57,76,566,737.0,21.0,13.0
760,4589,1348,179,111,24,369,373.0,207.0,
733,5388,1395,288,42,138,582,914.0,137.0,52.0
744,5328,1393,256,54,91,601,684.0,114.0,
152,1072,248,29,9,0,18,40.0,8.0,13.0
610,5421,1325,277,35,107,489,1308.0,108.0,52.0
574,4892,1224,162,48,13,435,449.0,235.0,
560,5030,1244,145,60,20,366,592.0,221.0,
855,5659,1599,310,32,210,475,930.0,143.0,45.0
827,5623,1531,284,54,201,518,1144.0,86.0,50.0
753,5508,1445,297,29,129,554,1057.0,180.0,63.0
804,5605,1543,294,27,177,549,981.0,200.0,46.0
791,5487,1445,303,19,220,519,916.0,77.0,29.0
900,5568,1568,302,36,193,718,978.0,104.0,57.0
689,5605,1515,289,49,151,455,1259.0,83.0,51.0
698,5558,1410,273,31,127,450,1122.0,119.0,27.0
578,5396,1246,199,28,125,514,1124.0,47.0,30.0
441,2259,647,83,18,6,24,51.0,36.0,14.0
706,5286,1388,191,54,108,580,578.0,68.0,
820,5619,1510,327,16,192,672,1056.0,51.0,23.0
827,4828,1209,183,89,31,303,473.0,434.0,
657,4958,1323,218,34,125,446,994.0,58.0,39.0
45,449,81,9,6,0,1,22.0,4.0,6.0
657,5206,1307,213,60,35,502,617.0,139.0,
673,5497,1392,227,41,134,568,842.0,90.0,59.0
759,5508,1482,281,53,158,503,807.0,144.0,77.0
644,5448,1359,207,32,146,469,940.0,97.0,34.0
644,5127,1369,226,77,39,399,621.0,171.0,
772,5581,1451,290,34,166,560,1064.0,108.0,21.0
686,5427,1349,251,29,163,421,1258.0,124.0,33.0
588,5159,1262,181,50,14,627,640.0,234.0,
371,2333,677,91,20,3,88,157.0,,
588,5127,1266,221,37,104,478,586.0,42.0,
797,5453,1390,278,18,205,565,1197.0,71.0,26.0
706,5550,1494,250,43,135,478,762.0,73.0,52.0
764,5317,1491,236,50,144,491,584.0,57.0,35.0
654,5561,1403,264,45,137,474,919.0,97.0,46.0
827,5567,1441,280,22,222,550,1241.0,107.0,32.0
399,2865,663,87,41,11,112,226.0,,
674,5288,1417,252,59,62,514,631.0,43.0,31.0
697,5488,1411,284,30,162,487,1099.0,55.0,32.0
730,5246,1379,162,56,18,545,303.0,93.0,
550,3114,918,157,36,12,140,224.0,,
716,5392,1261,255,18,183,571,1462.0,64.0,16.0
897,5601,1540,314,12,223,640,1171.0,100.0,38.0
311,2802,557,104,15,6,123,529.0,,
851,5781,1684,373,32,185,514,1044.0,68.0,48.0
783,5557,1494,322,20,125,481,1110.0,45.0,22.0
620,5555,1450,267,43,111,473,1107.0,120.0,73.0
866,4708,1401,171,85,55,422,344.0,260.0,
897,5527,1483,281,20,242,670,982.0,84.0,33.0
716,5290,1400,228,62,115,530,597.0,42.0,21.0
749,5126,1392,165,80,29,545,517.0,231.0,188.0
590,5430,1358,217,39,98,448,645.0,28.0,52.0
628,5330,1408,223,45,107,422,712.0,50.0,40.0
710,5415,1314,251,14,186,523,1198.0,136.0,44.0
498,3534,883,111,58,6,142,259.0,,
753,4644,1203,150,120,27,433,377.0,312.0,
730,4916,1296,228,18,169,565,911.0,112.0,46.0
1131,5048,1550,261,78,39,442,342.0,581.0,
588,5070,1205,149,33,5,421,525.0,175.0,
851,5678,1603,333,32,152,462,805.0,117.0,51.0
809,5716,1540,285,35,181,496,848.0,110.0,59.0
727,5437,1435,251,27,149,610,818.0,137.0,52.0
721,5496,1368,305,31,163,447,1543.0,76.0,25.0
783,5560,1478,262,29,192,514,928.0,169.0,46.0
678,5317,1487,216,46,57,434,482.0,68.0,
557,4898,1249,216,48,65,505,578.0,19.0,31.0
729,5542,1426,277,32,153,561,1334.0,110.0,45.0
481,5291,1266,153,53,10,331,608.0,150.0,
547,3975,955,123,79,5,189,537.0,,
758,5415,1376,220,33,151,609,846.0,183.0,82.0
702,5288,1377,173,34,169,497,581.0,38.0,22.0
711,5309,1438,282,55,98,503,532.0,60.0,34.0
847,5486,1581,303,62,88,464,471.0,66.0,
614,5348,1376,224,37,116,504,643.0,36.0,47.0
667,5385,1346,263,26,187,563,1258.0,59.0,34.0
321,2841,673,102,24,4,45,182.0,,
582,5218,1312,195,68,24,315,547.0,155.0,137.0
752,5433,1538,296,59,110,388,574.0,61.0,
726,5465,1538,250,46,103,451,586.0,50.0,
548,5368,1333,201,34,72,503,899.0,142.0,78.0
617,5329,1512,238,50,88,294,615.0,66.0,80.0
786,5508,1470,287,24,157,655,930.0,73.0,54.0
530,4265,1185,165,84,15,304,303.0,128.0,
670,5450,1353,227,44,113,550,1023.0,121.0,78.0
959,4942,1311,165,51,57,612,436.0,279.0,
690,5297,1417,233,65,56,547,516.0,59.0,
655,5418,1355,250,31,149,503,1220.0,110.0,41.0
728,5491,1436,222,27,129,538,952.0,141.0,65.0
684,5375,1502,299,52,81,437,492.0,42.0,
801,5305,1429,223,57,108,591,556.0,69.0,33.0
775,5540,1498,253,45,191,547,984.0,115.0,52.0
682,5495,1384,169,43,159,476,844.0,47.0,27.0
636,3685,1001,189,59,21,149,309.0,,
756,5487,1498,256,44,64,515,488.0,55.0,
611,5519,1386,216,24,105,490,834.0,74.0,74.0
740,5488,1378,273,30,209,488,1399.0,66.0,36.0
772,4856,1142,192,82,21,378,697.0,284.0,
759,4866,1353,183,104,37,331,281.0,157.0,
736,5205,1401,160,101,27,434,498.0,181.0,
734,5641,1499,285,32,115,506,915.0,112.0,54.0
654,5473,1333,275,41,147,487,1138.0,134.0,50.0
457,4730,1156,175,71,35,349,565.0,103.0,
564,5145,1238,189,52,90,583,664.0,69.0,49.0
818,5511,1449,333,29,212,604,1153.0,88.0,23.0
746,5495,1437,322,22,164,594,1156.0,123.0,62.0
700,5506,1455,271,29,137,543,1032.0,126.0,43.0
707,5514,1415,250,56,92,620,674.0,76.0,40.0
574,5065,1261,193,68,40,420,587.0,184.0,
718,5499,1377,232,35,137,602,917.0,46.0,27.0
