R,AB,H,2B,3B,HR,BB,SO,SB,CS
730,5458,1376,204,38,181,581,975.0,57.0,27.0
394,5060,1174,168,37,44,392,488.0,37.0,
668,5321,1553,234,56,37,343,374.0,70.0,97.0
348,2074,556,130,3,103,239,573.0,23.0,4.0
613,5364,1331,240,41,117,554,814.0,87.0,54.0
731,5576,1465,298,38,161,564,1104.0,123.0,31.0
893,5519,1430,287,20,235,770,1129.0,70.0,37.0
665,5675,1474,294,50,138,478,877.0,88.0,50.0
692,5246,1463,254,57,42,532,458.0,191.0,119.0
703,3786,1027,118,63,26,147,482.0,,
859,5572,1499,263,21,244,610,1095.0,130.0,45.0
558,5256,1324,220,49,44,353,593.0,50.0,67.0
621,5524,1321,216,29,166,548,1104.0,34.0,20.0
53,395,88,25,0,0,20,70.0,,
474,2267,683,71,21,4,35,33.0,36.0,24.0
871,5556,1541,294,25,205,631,1007.0,99.0,48.0
600,5415,1351,263,44,79,420,713.0,97.0,42.0
376,1281,410,66,27,9,46,23.0,56.0,12.0
597,5506,1378,208,38,95,448,916.0,43.0,30.0
636,5461,1437,204,41,82,377,477.0,31.0,
730,5220,1508,314,60,32,556,381.0,121.0,77.0
695,5522,1395,232,26,159,442,879.0,123.0,64.0
740,5581,1542,278,35,117,478,743.0,111.0,53.0
675,5221,1358,194,58,112,601,534.0,44.0,40.0
548,5395,1316,188,64,9,366,645.0,189.0,
514,3773,917,149,66,25,216,451.0,,
626,5298,1344,223,50,56,586,599.0,43.0,
707,5422,1511,265,66,65,485,409.0,47.0,
558,5099,1206,179,32,122,483,793.0,17.0,21.0
648,5332,1384,199,47,108,505,525.0,63.0,28.0
1220,5011,1658,272,94,103,535,261.0,241.0,
639,5426,1367,311,32,117,491,1090.0,45.0,45.0
720,5538,1432,261,29,150,461,1057.0,67.0,48.0
741,5531,1446,257,39,196,501,977.0,81.0,61.0
620,5568,1375,200,35,131,436,784.0,67.0,38.0
471,2722,723,96,24,9,58,98.0,,
406,3689,777,105,50,2,143,411.0,,
592,5319,1386,186,42,33,470,477.0,127.0,59.0
768,5293,1544,320,73,32,554,331.0,89.0,58.0
662,5513,1379,294,29,124,471,1142.0,151.0,36.0
626,5051,1254,164,75,20,464,634.0,288.0,
753,5596,1536,271,31,136,547,736.0,42.0,39.0
858,5594,1463,266,23,241,616,1386.0,90.0,22.0
707,5478,1308,224,20,198,456,1446.0,128.0,41.0
856,5624,1584,294,52,151,535,932.0,127.0,39.0
560,5173,1262,210,60,91,471,652.0,22.0,22.0
505,5254,1336,187,88,14,362,573.0,157.0,
751,5259,1405,215,51,88,751,502.0,39.0,52.0
691,5551,1447,275,26,158,494,1001.0,116.0,52.0
575,5309,1396,233,33,75,353,436.0,20.0,
673,4886,1278,214,29,144,517,916.0,131.0,53.0
732,5536,1404,237,35,144,586,920.0,177.0,53.0
936,4753,1407,228,71,61,517,255.0,223.0,
663,5568,1462,209,24,148,492,846.0,123.0,72.0
789,5364,1494,209,50,150,644,618.0,43.0,26.0
693,5525,1466,284,40,125,466,913.0,166.0,66.0
689,5491,1341,272,30,171,567,1518.0,95.0,37.0
660,5234,1396,257,47,85,503,510.0,53.0,
741,5191,1402,242,38,112,567,648.0,122.0,48.0
861,5630,1492,283,21,243,640,1114.0,58.0,35.0
710,5269,1470,243,44,112,475,602.0,43.0,35.0
859,5567,1485,275,32,201,662,1136.0,103.0,30.0
617,5361,1359,213,41,129,530,819.0,130.0,76.0
716,5487,1403,277,33,164,452,1284.0,139.0,51.0
683,5489,1351,280,21,147,504,934.0,158.0,53.0
768,5582,1518,348,36,167,472,1089.0,79.0,62.0
593,5591,1399,255,41,74,498,817.0,135.0,79.0
739,5464,1344,305,15,234,565,1491.0,57.0,22.0
585,5492,1319,230,52,71,478,888.0,101.0,51.0
910,5626,1579,339,21,199,653,1044.0,45.0,12.0
557,5378,1240,235,27,110,380,1413.0,47.0,24.0
482,4546,944,98,49,30,246,499.0,331.0,
694,5447,1365,171,40,148,630,900.0,52.0,40.0
847,5526,1418,325,31,212,607,1374.0,98.0,18.0
859,5628,1553,321,28,234,558,1081.0,115.0,39.0
274,2026,523,102,7,77,164,514.0,19.0,14.0
804,5391,1502,299,66,79,625,627.0,62.0,20.0
814,5450,1469,274,32,199,529,1089.0,91.0,35.0
852,5454,1661,253,90,80,448,421.0,116.0,83.0
608,5329,1362,229,47,43,445,476.0,49.0,
877,5673,1633,332,47,118,576,958.0,143.0,53.0
